7280	2	444	1097
614	2	453	1296
5340	2	748	1016
5340	2	119	59
4152	2	235	1138
4660	1	657	1109
328	2	199	516
2490	2	19	805
2797	2	782	815
6293	2	766	487
3871	2	140	1001
7289	1	432	1033
1510	1	465	1050
443	2	442	175
4116	2	873	832
4549	1	897	591
7141	2	82	844
414	1	688	1014
9932	2	426	643
4683	1	235	1409
1127	2	22	605
1747	1	262	1157
7547	2	820	233
825	2	796	871
566	2	282	168
8236	1	993	548
2104	1	228	1197
7132	1	937	171
6417	1	410	708
2416	1	654	318
7063	1	312	1351
8671	1	502	501
7958	1	453	1290
500	1	978	59
4686	2	772	945
2500	2	233	335
976	1	966	404
5630	2	603	1188
3742	2	757	642
6463	2	550	929
6077	2	962	827
7281	2	852	257
8307	1	881	949
6903	1	730	1428
263	1	856	1112
51	1	75	925
8844	2	627	898
3600	2	155	82
9088	1	243	4
1371	2	37	479
6546	1	674	2
3025	2	22	1219
9921	2	81	1303
8135	1	487	1426
2727	1	227	879
507	2	287	273
1339	2	399	1003
6580	2	711	509
2079	1	641	768
9029	1	148	100
7461	2	10	56
3365	2	704	1066
5925	1	227	304
8630	1	57	678
1814	2	294	152
6059	1	960	1283
3303	1	101	759
9650	2	364	1407
574	1	305	1380
4703	1	341	463
3616	2	829	1326
446	1	97	889
8596	2	624	1237
8440	1	626	216
4943	1	438	1358
7870	1	374	1372
8815	1	231	195
451	1	925	1031
8383	2	367	945
9445	1	719	242
5492	1	989	1096
7836	1	460	934
1904	2	172	239
2155	1	634	611
1927	2	653	669
7160	2	970	316
4681	1	243	385
7381	1	451	280
5401	2	285	443
471	2	734	275
6498	1	583	1088
3080	1	512	539
8742	2	498	762
4097	1	971	596
2684	1	455	773
2569	2	805	852
1407	1	704	948
5275	2	631	584
138	1	856	298
3931	1	592	493
1049	1	293	481
5404	2	568	1016
3351	2	69	967
8805	1	741	78
5686	2	342	603
7750	1	321	1388
2726	1	237	1365
1788	1	978	257
2500	1	632	827
5166	2	457	1135
8906	2	748	1165
3682	2	899	462
8913	2	592	1242
6106	2	419	137
4951	1	807	1192
1985	1	150	767
4162	2	242	1232
4032	2	942	259
5127	2	756	384
5818	2	904	284
2544	2	212	1368
7889	2	525	485
5994	1	710	557
6421	2	109	1230
7277	1	147	1416
906	2	383	986
3515	1	653	72
4853	1	362	63
6526	2	491	92
8901	2	687	394
4134	2	227	1194
2480	2	533	1304
9418	1	435	619
5713	1	284	605
4666	2	367	1196
5910	2	330	385
9906	1	622	751
5966	1	402	798
7829	1	932	1160
8565	1	855	355
1106	1	98	865
2178	1	133	1172
